,year,ethnicity,age,population
0,1957,Total Residents,0  -  4 Years,264727
1,1957,Total Residents,5  -  9 Years,218097
2,1957,Total Residents,10 - 14 Years,136280
3,1957,Total Residents,15 - 19 Years,135679
4,1957,Total Residents,20 - 24 Years,119266
5,1957,Total Residents,25 - 29 Years,111726
6,1957,Total Residents,30 - 34 Years,89925
7,1957,Total Residents,35 - 39 Years,82709
8,1957,Total Residents,40 - 44 Years,76217
9,1957,Total Residents,45 - 49 Years,66716
10,1957,Total Residents,50 - 54 Years,51794
11,1957,Total Residents,55 - 59 Years,37456
12,1957,Total Residents,60 - 64 Years,24276
13,1957,Total Residents,65 - 69 Years,15399
14,1957,Total Residents,70 - 74 Years,8774
15,1957,Total Residents,75 - 79 Years,4225
16,1957,Total Residents,80 - 84 Years,1786
17,1957,Total Residents,65 Years & Over,31061
18,1957,Total Residents,70 Years & Over,15662
19,1957,Total Residents,75 Years & Over,6888
20,1957,Total Residents,80 Years & Over,2663
21,1957,Total Residents,85 Years & Over,877
22,1957,Total Male Residents,0  -  4 Years,136712
23,1957,Total Male Residents,5  -  9 Years,112030
24,1957,Total Male Residents,10 - 14 Years,71219
25,1957,Total Male Residents,15 - 19 Years,70137
26,1957,Total Male Residents,20 - 24 Years,61254
27,1957,Total Male Residents,25 - 29 Years,59776
28,1957,Total Male Residents,30 - 34 Years,50148
29,1957,Total Male Residents,35 - 39 Years,46506
30,1957,Total Male Residents,40 - 44 Years,43041
31,1957,Total Male Residents,45 - 49 Years,37773
32,1957,Total Male Residents,50 - 54 Years,29253
33,1957,Total Male Residents,55 - 59 Years,20550
34,1957,Total Male Residents,60 - 64 Years,12015
35,1957,Total Male Residents,65 - 69 Years,6762
36,1957,Total Male Residents,70 - 74 Years,3425
37,1957,Total Male Residents,75 - 79 Years,1415
38,1957,Total Male Residents,80 - 84 Years,508
39,1957,Total Male Residents,65 Years & Over,12346
40,1957,Total Male Residents,70 Years & Over,5584
41,1957,Total Male Residents,75 Years & Over,2159
42,1957,Total Male Residents,80 Years & Over,744
43,1957,Total Male Residents,85 Years & Over,236
44,1957,Total Female Residents,0  -  4 Years,128015
45,1957,Total Female Residents,5  -  9 Years,106067
46,1957,Total Female Residents,10 - 14 Years,65061
47,1957,Total Female Residents,15 - 19 Years,65542
48,1957,Total Female Residents,20 - 24 Years,58012
49,1957,Total Female Residents,25 - 29 Years,51950
50,1957,Total Female Residents,30 - 34 Years,39777
51,1957,Total Female Residents,35 - 39 Years,36203
52,1957,Total Female Residents,40 - 44 Years,33176
53,1957,Total Female Residents,45 - 49 Years,28943
54,1957,Total Female Residents,50 - 54 Years,22541
55,1957,Total Female Residents,55 - 59 Years,16906
56,1957,Total Female Residents,60 - 64 Years,12261
57,1957,Total Female Residents,65 - 69 Years,8637
58,1957,Total Female Residents,70 - 74 Years,5349
59,1957,Total Female Residents,75 - 79 Years,2810
60,1957,Total Female Residents,80 - 84 Years,1278
61,1957,Total Female Residents,65 Years & Over,18715
62,1957,Total Female Residents,70 Years & Over,10078
63,1957,Total Female Residents,75 Years & Over,4729
64,1957,Total Female Residents,80 Years & Over,1919
65,1957,Total Female Residents,85 Years & Over,641
66,1957,Total Malays,0  -  4 Years,43161
67,1957,Total Malays,5  -  9 Years,29135
68,1957,Total Malays,10 - 14 Years,16614
69,1957,Total Malays,15 - 19 Years,17575
70,1957,Total Malays,20 - 24 Years,20473
71,1957,Total Malays,25 - 29 Years,17697
72,1957,Total Malays,30 - 34 Years,14215
73,1957,Total Malays,35 - 39 Years,11652
74,1957,Total Malays,40 - 44 Years,7828
75,1957,Total Malays,45 - 49 Years,6228
76,1957,Total Malays,50 - 54 Years,4491
77,1957,Total Malays,55 - 59 Years,3168
78,1957,Total Malays,60 - 64 Years,2019
79,1957,Total Malays,65 - 69 Years,1144
80,1957,Total Malays,70 - 74 Years,792
81,1957,Total Malays,75 - 79 Years,348
82,1957,Total Malays,80 - 84 Years,270
83,1957,Total Malays,65 Years & Over,2803
84,1957,Total Malays,70 Years & Over,1659
85,1957,Total Malays,75 Years & Over,867
