Column,year,ethnicity group,gender,age,population
0,1957,Total Residents,both combined,0  -  4 ,264727
1,1957,Total Residents,both combined,5  -  9 ,218097
2,1957,Total Residents,both combined,10 - 14 ,136280
3,1957,Total Residents,both combined,15 - 19 ,135679
4,1957,Total Residents,both combined,20 - 24 ,119266
5,1957,Total Residents,both combined,25 - 29 ,111726
6,1957,Total Residents,both combined,30 - 34 ,89925
7,1957,Total Residents,both combined,35 - 39 ,82709
8,1957,Total Residents,both combined,40 - 44 ,76217
9,1957,Total Residents,both combined,45 - 49 ,66716
10,1957,Total Residents,both combined,50 - 54 ,51794
11,1957,Total Residents,both combined,55 - 59 ,37456
12,1957,Total Residents,both combined,60 - 64 ,24276
13,1957,Total Residents,both combined,65 - 69 ,15399
14,1957,Total Residents,both combined,70 - 74 ,8774
15,1957,Total Residents,both combined,75 - 79 ,4225
16,1957,Total Residents,both combined,80 - 84 ,1786
17,1957,Total Residents,both combined,65 - 85,31061
18,1957,Total Residents,both combined,70 - 85,15662
19,1957,Total Residents,both combined,75 - 85,6888
20,1957,Total Residents,both combined,80 - 84,2663
21,1957,Total Residents,both combined,85,877
22,1957,Total Residents,male,0  -  4 ,136712
23,1957,Total Residents,male,5  -  9 ,112030
24,1957,Total Residents,male,10 - 14 ,71219
25,1957,Total Residents,male,15 - 19 ,70137
26,1957,Total Residents,male,20 - 24 ,61254
27,1957,Total Residents,male,25 - 29 ,59776
28,1957,Total Residents,male,30 - 34 ,50148
29,1957,Total Residents,male,35 - 39 ,46506
30,1957,Total Residents,male,40 - 44 ,43041
31,1957,Total Residents,male,45 - 49 ,37773
32,1957,Total Residents,male,50 - 54 ,29253
33,1957,Total Residents,male,55 - 59 ,20550
34,1957,Total Residents,male,60 - 64 ,12015
35,1957,Total Residents,male,65 - 69 ,6762
36,1957,Total Residents,male,70 - 74 ,3425
37,1957,Total Residents,male,75 - 79 ,1415
38,1957,Total Residents,male,80 - 84 ,508
39,1957,Total Residents,male,65 - 85,12346
40,1957,Total Residents,male,70 - 85,5584
41,1957,Total Residents,male,75 - 85,2159
42,1957,Total Residents,male,80 - 84,744
43,1957,Total Residents,male,85,236
44,1957,Total Residents,female,0  -  4 ,128015
45,1957,Total Residents,female,5  -  9 ,106067
46,1957,Total Residents,female,10 - 14 ,65061
47,1957,Total Residents,female,15 - 19 ,65542
48,1957,Total Residents,female,20 - 24 ,58012
49,1957,Total Residents,female,25 - 29 ,51950
50,1957,Total Residents,female,30 - 34 ,39777
51,1957,Total Residents,female,35 - 39 ,36203
52,1957,Total Residents,female,40 - 44 ,33176
53,1957,Total Residents,female,45 - 49 ,28943
54,1957,Total Residents,female,50 - 54 ,22541
55,1957,Total Residents,female,55 - 59 ,16906
56,1957,Total Residents,female,60 - 64 ,12261
57,1957,Total Residents,female,65 - 69 ,8637
58,1957,Total Residents,female,70 - 74 ,5349
59,1957,Total Residents,female,75 - 79 ,2810
60,1957,Total Residents,female,80 - 84 ,1278
61,1957,Total Residents,female,65 - 85,18715
62,1957,Total Residents,female,70 - 85,10078
63,1957,Total Residents,female,75 - 85,4729
64,1957,Total Residents,female,80 - 84,1919
65,1957,Total Residents,female,85,641
66,1957,malays,both combined,0  -  4 ,43161
67,1957,malays,both combined,5  -  9 ,29135
68,1957,malays,both combined,10 - 14 ,16614
69,1957,malays,both combined,15 - 19 ,17575
70,1957,malays,both combined,20 - 24 ,20473
71,1957,malays,both combined,25 - 29 ,17697
72,1957,malays,both combined,30 - 34 ,14215
73,1957,malays,both combined,35 - 39 ,11652
74,1957,malays,both combined,40 - 44 ,7828
75,1957,malays,both combined,45 - 49 ,6228
76,1957,malays,both combined,50 - 54 ,4491
77,1957,malays,both combined,55 - 59 ,3168
78,1957,malays,both combined,60 - 64 ,2019
79,1957,malays,both combined,65 - 69 ,1144
80,1957,malays,both combined,70 - 74 ,792
81,1957,malays,both combined,75 - 79 ,348
82,1957,malays,both combined,80 - 84 ,270
83,1957,malays,both combined,65 - 85,2803
84,1957,malays,both combined,70 - 85,1659
85,1957,malays,both combined,75 - 85,867
86,1957,malays,both combined,80 - 84,519
87,1957,malays,both combined,85,249
88,1957,malays,male,0  -  4 ,21743
89,1957,malays,male,5  -  9 ,14451
90,1957,malays,male,10 - 14 ,8393
91,1957,malays,male,15 - 19 ,8528
92,1957,malays,male,20 - 24 ,10556
93,1957,malays,male,25 - 29 ,9552
94,1957,malays,male,30 - 34 ,8226
95,1957,malays,male,35 - 39 ,6917
96,1957,malays,male,40 - 44 ,4531
97,1957,malays,male,45 - 49 ,3449
98,1957,malays,male,50 - 54 ,2620
99,1957,malays,male,55 - 59 ,1866
100,1957,malays,male,60 - 64 ,1088
101,1957,malays,male,65 - 69 ,586
102,1957,malays,male,70 - 74 ,386
103,1957,malays,male,75 - 79 ,152
104,1957,malays,male,80 - 84 ,107
105,1957,malays,male,65 - 85,1329
106,1957,malays,male,70 - 85,743
107,1957,malays,male,75 - 85,357
108,1957,malays,male,80 - 84,205
109,1957,malays,male,85,98
110,1957,malays,female,0  -  4 ,21418
111,1957,malays,female,5  -  9 ,14684
112,1957,malays,female,10 - 14 ,8221
113,1957,malays,female,15 - 19 ,9047
114,1957,malays,female,20 - 24 ,9917
115,1957,malays,female,25 - 29 ,8145
116,1957,malays,female,30 - 34 ,5989
117,1957,malays,female,35 - 39 ,4735
118,1957,malays,female,40 - 44 ,3297
119,1957,malays,female,45 - 49 ,2779
120,1957,malays,female,50 - 54 ,1871
121,1957,malays,female,55 - 59 ,1302
122,1957,malays,female,60 - 64 ,931
123,1957,malays,female,65 - 69 ,558
124,1957,malays,female,70 - 74 ,406
125,1957,malays,female,75 - 79 ,196
126,1957,malays,female,80 - 84 ,163
127,1957,malays,female,65 - 85,1474
128,1957,malays,female,70 - 85,916
129,1957,malays,female,75 - 85,510
130,1957,malays,female,80 - 84,314
131,1957,malays,female,85,151
132,1957,chinese,both combined,0  -  4 ,197758
133,1957,chinese,both combined,5  -  9 ,170174
134,1957,chinese,both combined,10 - 14 ,109703
135,1957,chinese,both combined,15 - 19 ,107156
136,1957,chinese,both combined,20 - 24 ,85913
137,1957,chinese,both combined,25 - 29 ,76611
138,1957,chinese,both combined,30 - 34 ,59344
139,1957,chinese,both combined,35 - 39 ,55917
140,1957,chinese,both combined,40 - 44 ,57277
141,1957,chinese,both combined,45 - 49 ,51888
142,1957,chinese,both combined,50 - 54 ,41617
143,1957,chinese,both combined,55 - 59 ,30509
144,1957,chinese,both combined,60 - 64 ,20461
145,1957,chinese,both combined,65 - 69 ,13264
146,1957,chinese,both combined,70 - 74 ,7414
147,1957,chinese,both combined,75 - 79 ,3640
148,1957,chinese,both combined,80 - 84 ,1398
149,1957,chinese,both combined,65 - 85,26268
150,1957,chinese,both combined,70 - 85,13004
151,1957,chinese,both combined,75 - 85,5590
152,1957,chinese,both combined,80 - 84,1950
153,1957,chinese,both combined,85,552
154,1957,chinese,male,0  -  4 ,102848
155,1957,chinese,male,5  -  9 ,88108
156,1957,chinese,male,10 - 14 ,57342
157,1957,chinese,male,15 - 19 ,55187
158,1957,chinese,male,20 - 24 ,42965
