year,ethnicity group,gender,age,population
1957,malays,male,0  -  4 ,21743
1957,malays,male,5  -  9 ,14451
1957,malays,male,10 - 14 ,8393
1957,malays,male,15 - 19 ,8528
1957,malays,male,20 - 24 ,10556
1957,malays,male,25 - 29 ,9552
1957,malays,male,30 - 34 ,8226
1957,malays,male,35 - 39 ,6917
1957,malays,male,40 - 44 ,4531
1957,malays,male,45 - 49 ,3449
1957,malays,male,50 - 54 ,2620
1957,malays,male,55 - 59 ,1866
1957,malays,male,60 - 64 ,1088
1957,malays,male,65 - 69 ,586
1957,malays,male,70 - 74 ,386
1957,malays,male,75 - 79 ,152
1957,malays,male,80 - 84 ,107
1957,malays,male,65 - 85,1329
1957,malays,male,70 - 85,743
1957,malays,male,75 - 85,357
1957,malays,male,80 - 84,205
1957,malays,male,85,98
1957,malays,female,0  -  4 ,21418
1957,malays,female,5  -  9 ,14684
1957,malays,female,10 - 14 ,8221
1957,malays,female,15 - 19 ,9047
1957,malays,female,20 - 24 ,9917
1957,malays,female,25 - 29 ,8145
1957,malays,female,30 - 34 ,5989
1957,malays,female,35 - 39 ,4735
1957,malays,female,40 - 44 ,3297
1957,malays,female,45 - 49 ,2779
1957,malays,female,50 - 54 ,1871
1957,malays,female,55 - 59 ,1302
1957,malays,female,60 - 64 ,931
1957,malays,female,65 - 69 ,558
1957,malays,female,70 - 74 ,406
1957,malays,female,75 - 79 ,196
1957,malays,female,80 - 84 ,163
1957,malays,female,65 - 85,1474
1957,malays,female,70 - 85,916
1957,malays,female,75 - 85,510
1957,malays,female,80 - 84,314
1957,malays,female,85,151
1957,chinese,male,0  -  4 ,102848
1957,chinese,male,5  -  9 ,88108
1957,chinese,male,10 - 14 ,57342
1957,chinese,male,15 - 19 ,55187
1957,chinese,male,20 - 24 ,42965
1957,chinese,male,25 - 29 ,37851
1957,chinese,male,30 - 34 ,29491
1957,chinese,male,35 - 39 ,27647
1957,chinese,male,40 - 44 ,29498
1957,chinese,male,45 - 49 ,27357
1957,chinese,male,50 - 54 ,22085
1957,chinese,male,55 - 59 ,15776
1957,chinese,male,60 - 64 ,9679
1957,chinese,male,65 - 69 ,5544
1957,chinese,male,70 - 74 ,2714
1957,chinese,male,75 - 79 ,1120
1957,chinese,male,80 - 84 ,345
1957,chinese,male,65 - 85,9829
1957,chinese,male,70 - 85,4285
1957,chinese,male,75 - 85,1571
1957,chinese,male,80 - 84,451
1957,chinese,male,85,106
1957,chinese,female,0  -  4 ,94910
1957,chinese,female,5  -  9 ,82066
1957,chinese,female,10 - 14 ,52361
1957,chinese,female,15 - 19 ,51969
1957,chinese,female,20 - 24 ,42948
1957,chinese,female,25 - 29 ,38760
1957,chinese,female,30 - 34 ,29853
1957,chinese,female,35 - 39 ,28270
1957,chinese,female,40 - 44 ,27779
1957,chinese,female,45 - 49 ,24531
1957,chinese,female,50 - 54 ,19532
1957,chinese,female,55 - 59 ,14733
1957,chinese,female,60 - 64 ,10782
1957,chinese,female,65 - 69 ,7720
1957,chinese,female,70 - 74 ,4700
1957,chinese,female,75 - 79 ,2520
1957,chinese,female,80 - 84 ,1053
1957,chinese,female,65 - 85,16439
1957,chinese,female,70 - 85,8719
1957,chinese,female,75 - 85,4019
1957,chinese,female,80 - 84,1499
1957,chinese,female,85,446
1957,indians,male,0  -  4 ,9601
1957,indians,male,5  -  9 ,7224
1957,indians,male,10 - 14 ,4396
1957,indians,male,15 - 19 ,5356
1957,indians,male,20 - 24 ,6343
1957,indians,male,25 - 29 ,10633
1957,indians,male,30 - 34 ,10562
1957,indians,male,35 - 39 ,10323
1957,indians,male,40 - 44 ,7770
1957,indians,male,45 - 49 ,5980
1957,indians,male,50 - 54 ,3711
1957,indians,male,55 - 59 ,2367
1957,indians,male,60 - 64 ,957
1957,indians,male,65 - 69 ,416
1957,indians,male,70 - 74 ,202
1957,indians,male,75 - 79 ,91
1957,indians,male,80 - 84 ,36
1957,indians,male,65 - 85,765
1957,indians,male,70 - 85,349
1957,indians,male,75 - 85,147
1957,indians,male,80 - 84,56
1957,indians,male,85,20
1957,indians,female,0  -  4 ,9242
1957,indians,female,5  -  9 ,7189
1957,indians,female,10 - 14 ,3347
1957,indians,female,15 - 19 ,3276
1957,indians,female,20 - 24 ,3780
1957,indians,female,25 - 29 ,3518
1957,indians,female,30 - 34 ,2374
1957,indians,female,35 - 39 ,1933
1957,indians,female,40 - 44 ,1171
1957,indians,female,45 - 49 ,837
1957,indians,female,50 - 54 ,531
1957,indians,female,55 - 59 ,394
1957,indians,female,60 - 64 ,231
1957,indians,female,65 - 69 ,135
1957,indians,female,70 - 74 ,78
1957,indians,female,75 - 79 ,20
1957,indians,female,80 - 84 ,21
1957,indians,female,65 - 85,273
1957,indians,female,70 - 85,138
1957,indians,female,75 - 85,60
1957,indians,female,80 - 84,40
1957,indians,female,85,19
1957,Other Ethnic Groups,male,0  -  4 ,2520
1957,Other Ethnic Groups,male,5  -  9 ,2247
1957,Other Ethnic Groups,male,10 - 14 ,1088
1957,Other Ethnic Groups,male,15 - 19 ,1066
1957,Other Ethnic Groups,male,20 - 24 ,1390
1957,Other Ethnic Groups,male,25 - 29 ,1740
1957,Other Ethnic Groups,male,30 - 34 ,1869
1957,Other Ethnic Groups,male,35 - 39 ,1619
1957,Other Ethnic Groups,male,40 - 44 ,1242
1957,Other Ethnic Groups,male,45 - 49 ,987
1957,Other Ethnic Groups,male,50 - 54 ,837
1957,Other Ethnic Groups,male,55 - 59 ,541
1957,Other Ethnic Groups,male,60 - 64 ,291
1957,Other Ethnic Groups,male,65 - 69 ,216
1957,Other Ethnic Groups,male,70 - 74 ,123
1957,Other Ethnic Groups,male,75 - 79 ,52
1957,Other Ethnic Groups,male,80 - 84 ,20
1957,Other Ethnic Groups,male,65 - 85,423
1957,Other Ethnic Groups,male,70 - 85,207
1957,Other Ethnic Groups,male,75 - 85,84
1957,Other Ethnic Groups,male,80 - 84,32
1957,Other Ethnic Groups,male,85,12
1957,Other Ethnic Groups,female,0  -  4 ,2445
1957,Other Ethnic Groups,female,5  -  9 ,2128
1957,Other Ethnic Groups,female,10 - 14 ,1132
1957,Other Ethnic Groups,female,15 - 19 ,1250
1957,Other Ethnic Groups,female,20 - 24 ,1367
1957,Other Ethnic Groups,female,25 - 29 ,1527
1957,Other Ethnic Groups,female,30 - 34 ,1561
1957,Other Ethnic Groups,female,35 - 39 ,1265
1957,Other Ethnic Groups,female,40 - 44 ,929
1957,Other Ethnic Groups,female,45 - 49 ,796
1957,Other Ethnic Groups,female,50 - 54 ,607
1957,Other Ethnic Groups,female,55 - 59 ,477
1957,Other Ethnic Groups,female,60 - 64 ,317
1957,Other Ethnic Groups,female,65 - 69 ,224
1957,Other Ethnic Groups,female,70 - 74 ,165
1957,Other Ethnic Groups,female,75 - 79 ,74
1957,Other Ethnic Groups,female,80 - 84 ,41
1957,Other Ethnic Groups,female,65 - 85,529
1957,Other Ethnic Groups,female,70 - 85,305
1957,Other Ethnic Groups,female,75 - 85,140
1957,Other Ethnic Groups,female,80 - 84,66
1957,Other Ethnic Groups,female,85,25
1958,malays,male,0  -  4 ,22700
1958,malays,male,5  -  9 ,15900
1958,malays,male,10 - 14 ,9900
1958,malays,male,15 - 19 ,7800
1958,malays,male,20 - 24 ,10900
1958,malays,male,25 - 29 ,9900
1958,malays,male,30 - 34 ,8700
1958,malays,male,35 - 39 ,7300
1958,malays,male,40 - 44 ,4900
1958,malays,male,45 - 49 ,3600
1958,malays,male,50 - 54 ,2700
1958,malays,male,55 - 59 ,2100
1958,malays,male,60 - 64 ,1200
1958,malays,male,65 - 69 ,700
1958,malays,male,65 - 85,1500
1958,malays,male,70 - 85,800
1958,malays,female,0  -  4 ,22400
1958,malays,female,5  -  9 ,16200
1958,malays,female,10 - 14 ,9700
1958,malays,female,15 - 19 ,8600
1958,malays,female,20 - 24 ,10500
1958,malays,female,25 - 29 ,8500
1958,malays,female,30 - 34 ,6500
1958,malays,female,35 - 39 ,5000
1958,malays,female,40 - 44 ,3600
1958,malays,female,45 - 49 ,2900
1958,malays,female,50 - 54 ,2100
1958,malays,female,55 - 59 ,1300
1958,malays,female,60 - 64 ,1100
1958,malays,female,65 - 69 ,500
1958,malays,female,65 - 85,1500
1958,malays,female,70 - 85,1000
1958,chinese,male,0  -  4 ,107600
1958,chinese,male,5  -  9 ,92400
1958,chinese,male,10 - 14 ,65500
1958,chinese,male,15 - 19 ,55600
1958,chinese,male,20 - 24 ,46200
1958,chinese,male,25 - 29 ,39200
1958,chinese,male,30 - 34 ,31600
1958,chinese,male,35 - 39 ,28100
1958,chinese,male,40 - 44 ,29200
1958,chinese,male,45 - 49 ,28700
1958,chinese,male,50 - 54 ,22800
1958,chinese,male,55 - 59 ,17000
1958,chinese,male,60 - 64 ,10500
1958,chinese,male,65 - 69 ,6400
1958,chinese,male,65 - 85,10500
1958,chinese,male,70 - 85,4100
1958,chinese,female,0  -  4 ,99900
1958,chinese,female,5  -  9 ,85800
1958,chinese,female,10 - 14 ,60400
1958,chinese,female,15 - 19 ,52000
1958,chinese,female,20 - 24 ,45700
1958,chinese,female,25 - 29 ,40100
